Image,PlateText,Confidence,BBox,SavedImage
"D:/5th sem project/dip/LicensePlateDetection/media/p1.jpg","EEJCAFR024",0.9900842172631252,"13,55,210,165","results/all_plates/2f16d1b8d131.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972456.jpg","FDR49108",0.7667288301515031,"752,708,1081,869","results/all_plates/4eac7d8a3ba0.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972456.jpg","FDR49108",0.7667288301515031,"752,708,1081,869",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1342295.jpg","7E61026",0.26266704548614717,"280,261,457,334","results/all_plates/36cd7c365800.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1342295.jpg","7E61026",0.26266704548614717,"280,261,457,334",""
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1161297.jpg","DL86430",0.8480161225765792,"442,639,797,803","results/all_plates/4d3ba809756b.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1007335.jpg","ICF76904",0.6958709793103203,"666,818,987,940","results/all_plates/b4302ed484a2.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1007353.jpg","AS332347",0.37136954867714517,"662,664,965,830","results/all_plates/a257013e48ce.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1007405.jpg","LA59357",0.23042030371177952,"442,453,761,627","results/all_plates/cf18597bfb54.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1030412.jpg","IEE82996",0.822421787384867,"248,395,536,541","results/all_plates/7b2056b2193e.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972404.jpg","JCHI9BS9",0.9999530852969051,"752,684,1050,827","results/all_plates/bcee1cf365c4.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972509.jpg","HKIBIIO",0.9906160856995236,"737,672,1016,823","results/all_plates/338f6cdf680f.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972486.jpg","YXK3OO6O",0.9999312805339634,"602,721,947,900","results/all_plates/edbbeee6acdd.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972404.jpg","CH19859",0.974216038326579,"752,684,1050,827","results/all_plates/bcee1cf365c4.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1007335.jpg","CF76904",0.9933911252913429,"666,818,987,940","results/all_plates/b4302ed484a2.jpg"
"D:/5th sem project/dip/LicensePlateDetection/media/p2.png","DA0CH157ANA8E1234QVE77A",0.4304679522634007,"0,0,518,285","results/all_plates/0d6646c33159.jpg"
"D:/5th sem project/dip/LicensePlateDetection/media/p1.jpg","C4LAFR024",0.998986102411256,"13,55,210,165","results/all_plates/2f16d1b8d131.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1342295.jpg","2061026",0.42315500885595375,"280,261,457,334","results/all_plates/36cd7c365800.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972655.jpg","UJV30814",0.20085554828611277,"632,719,937,880","results/all_plates/c7e8d3f178b0.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972456.jpg","DR79108",0.9982986187806777,"752,708,1081,869","results/all_plates/4eac7d8a3ba0.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1007416.jpg","8743288",0.9999816606469917,"605,669,880,811","results/all_plates/eafa03afcdb4.jpg"
"D:/5th sem project/dip/LicensePlateDetection/media/p2.png","DAOCHSTANABE1234QVETTA",0.4309226963343292,"0,0,518,285","results/all_plates/0d6646c33159.jpg"
"D:/5th sem project/dip/LicensePlateDetection/media/p1.jpg","C4LAFR024",0.999014871066524,"13,55,210,165","results/all_plates/2f16d1b8d131.jpg"
"D:/5th sem project/dip/LicensePlateDetection/media/p3.jpg","LER201234",0.9999900460243225,"0,0,302,166","results/all_plates/98c17f06cca1.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/1007416.jpg","BT43288",0.9999824603289099,"605,669,880,811","results/all_plates/eafa03afcdb4.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/816223.jpg","KH68012",0.1890580766810671,"709,597,975,716","results/all_plates/2a4b6df75cb6.jpg"
"C:/Users/Urooj Shehzadi/Downloads/archive (1)/Norway/972655.jpg","UJV30814",0.19848908425713632,"632,719,937,880","results/all_plates/c7e8d3f178b0.jpg"
