epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3639,2.13432,6.62451,2.74604,0,0,0,0,2.4432,7.70982,3.76737,2e-05,2e-05,2e-05
2,45.1045,2.05217,6.28971,2.70231,0,0,0,0,2.48509,7.38886,3.62888,5.8812e-05,5.8812e-05,5.8812e-05
3,64.8468,1.67175,5.57635,2.37532,0.00803,0.07692,0.00471,0.00112,2.47755,6.76165,3.30859,9.604e-05,9.604e-05,9.604e-05
4,84.7624,1.55419,5.047,2.1667,0.02113,0.23077,0.01601,0.00499,2.30968,5.80319,2.8293,0.000131684,0.000131684,0.000131684
5,104.348,1.46804,4.37218,2.0751,0.05163,0.73077,0.07409,0.02757,2.19622,4.44336,2.53233,0.000165744,0.000165744,0.000165744
6,123.952,1.17459,3.17676,1.96,0.1701,0.4337,0.15742,0.06182,1.92551,3.2293,2.23695,0.00019822,0.00019822,0.00019822
7,143.991,1.02548,2.48665,1.71052,0.24663,0.69231,0.25747,0.11713,1.43462,2.34498,1.89983,0.000229112,0.000229112,0.000229112
8,163.322,0.89995,1.58874,1.59317,0.41587,0.61538,0.55048,0.30672,0.97209,1.59004,1.5557,0.00025842,0.00025842,0.00025842
9,182.922,0.90773,1.31445,1.594,0.61138,0.84615,0.7588,0.46828,0.87847,1.31701,1.46054,0.000286144,0.000286144,0.000286144
10,202.464,0.86811,1.25711,1.4864,0.70185,0.81505,0.88271,0.62858,0.7841,1.12031,1.37683,0.000312284,0.000312284,0.000312284
11,223.067,0.7998,0.99469,1.46552,0.79136,0.92308,0.94183,0.74804,0.68155,0.98231,1.27441,0.00033684,0.00033684,0.00033684
12,243.4,0.73848,0.97713,1.4515,0.9533,0.92308,0.98641,0.80718,0.61143,0.85781,1.18334,0.000359812,0.000359812,0.000359812
13,263.292,0.6987,0.87022,1.41507,0.96056,0.93719,0.98946,0.85914,0.53955,0.73103,1.08851,0.0003812,0.0003812,0.0003812
14,283.497,0.65351,0.83706,1.39473,0.99648,1,0.995,0.92043,0.46836,0.65522,0.99933,0.000401004,0.000401004,0.000401004
15,303.253,0.59034,0.70433,1.32441,0.99559,1,0.995,0.9164,0.45596,0.57819,0.95295,0.000419224,0.000419224,0.000419224
16,322.94,0.53209,0.69322,1.29716,0.99425,1,0.995,0.91756,0.44183,0.53981,0.92678,0.00043586,0.00043586,0.00043586
17,343.138,0.57303,0.63039,1.30728,0.99513,1,0.995,0.94747,0.39901,0.48397,0.90051,0.000450912,0.000450912,0.000450912
18,363.546,0.58712,0.65256,1.3246,0.99603,1,0.995,0.93906,0.38298,0.46421,0.8936,0.00046438,0.00046438,0.00046438
19,384.575,0.48305,0.59094,1.27621,0.99668,1,0.995,0.95472,0.35918,0.4648,0.89793,0.000476264,0.000476264,0.000476264
20,405.69,0.49432,0.59741,1.2378,0.99615,1,0.995,0.9586,0.37286,0.48699,0.92482,0.000486564,0.000486564,0.000486564
21,425.355,0.50617,0.54734,1.24765,0.99581,1,0.995,0.93585,0.38102,0.52368,0.94528,0.00049528,0.00049528,0.00049528
22,447.05,0.45171,0.53213,1.23816,1,0.99551,0.995,0.91067,0.41476,0.57638,0.96076,0.000502412,0.000502412,0.000502412
23,467.298,0.45018,0.53088,1.21118,0.99175,0.96154,0.99286,0.88344,0.44121,0.62633,0.95663,0.00050796,0.00050796,0.00050796
24,487.345,0.46164,0.49066,1.22208,0.99058,0.96154,0.991,0.86295,0.50223,0.65988,0.98564,0.000511924,0.000511924,0.000511924
25,507.637,0.52904,0.65945,1.24056,0.96116,0.95218,0.98728,0.85796,0.51718,0.6623,0.9896,0.000514304,0.000514304,0.000514304
26,528.078,0.47926,0.60204,1.21348,0.89578,0.99198,0.98573,0.86111,0.48179,0.6505,0.9733,0.0005151,0.0005151,0.0005151
27,548.025,0.43305,0.58788,1.21181,0.97683,0.92308,0.98893,0.88849,0.44655,0.63914,0.95563,0.000514312,0.000514312,0.000514312
28,568.413,0.43482,0.51673,1.17941,0.97683,0.92308,0.98893,0.88849,0.44655,0.63914,0.95563,0.00051194,0.00051194,0.00051194
29,588.982,0.42671,0.49673,1.13319,1,0.98631,0.995,0.90744,0.41948,0.60864,0.93755,0.000507984,0.000507984,0.000507984
30,609.699,0.5566,0.57249,1.25963,0.99455,1,0.995,0.91132,0.44526,0.51486,0.97982,0.000502444,0.000502444,0.000502444
31,630.36,0.40783,0.46356,1.16473,0.99455,1,0.995,0.91132,0.44526,0.51486,0.97982,0.00049532,0.00049532,0.00049532
32,651.158,0.44301,0.54048,1.20782,0.99695,1,0.995,0.9235,0.44428,0.47892,0.97671,0.000486612,0.000486612,0.000486612
33,672.257,0.42583,0.48263,1.1763,0.99764,1,0.995,0.89276,0.48822,0.45092,0.98976,0.00047632,0.00047632,0.00047632
34,692.944,0.36659,0.46284,1.11137,0.99764,1,0.995,0.89276,0.48822,0.45092,0.98976,0.000464444,0.000464444,0.000464444
35,713.527,0.38331,0.4502,1.13317,0.99778,1,0.995,0.91894,0.46949,0.44306,0.95212,0.000450984,0.000450984,0.000450984
