epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.59716,1.97907,5.71919,2.40156,0.03226,0.19231,0.02148,0.0165,1.21791,5.60635,1.51968,0.00012,0.00012,0.00012
2,16.4017,1.79435,4.7325,2.3162,0.39372,0.69231,0.40377,0.30113,0.93613,2.45923,1.14012,0.000254852,0.000254852,0.000254852
3,23.9841,1.47962,3.59654,1.99334,0.90886,0.80769,0.90549,0.70775,0.85835,1.1689,0.9783,0.00038416,0.00038416,0.00038416
4,31.4222,1.42871,2.72006,1.84686,1,0.96112,0.98553,0.77885,0.88239,1.00741,0.97612,0.000507924,0.000507924,0.000507924
5,39.1508,1.21791,2.38521,1.76351,0.9951,0.96154,0.9919,0.73438,1.0938,1.37968,1.11427,0.000626144,0.000626144,0.000626144
6,1119.38,1.11847,1.64084,1.62907,0.96266,0.99191,0.99389,0.7263,1.08884,1.7064,1.10724,0.00073882,0.00073882,0.00073882
7,1126.78,1.03536,1.59916,1.56053,0.96266,0.99191,0.99389,0.7263,1.08884,1.7064,1.10724,0.000845952,0.000845952,0.000845952
8,1134.62,1.08289,1.56708,1.65783,0.96289,0.99799,0.99389,0.74472,1.03408,1.76325,1.08792,0.00094754,0.00094754,0.00094754
9,1142.38,1.00351,1.15293,1.56396,0.9423,0.92308,0.98804,0.76886,0.96907,1.64048,1.07579,0.00104358,0.00104358,0.00104358
10,1149.84,1.05445,1.30935,1.55277,0.9423,0.92308,0.98804,0.76886,0.96907,1.64048,1.07579,0.00113408,0.00113408,0.00113408
11,1157.43,0.92554,1.08624,1.49389,0.9843,0.92308,0.99036,0.83316,0.72102,1.18705,0.94537,0.00121904,0.00121904,0.00121904
12,1164.91,0.87065,0.94504,1.50577,0.9843,0.92308,0.99036,0.83316,0.72102,1.18705,0.94537,0.00129845,0.00129845,0.00129845
13,1172.56,0.88884,0.97931,1.48068,0.8932,1,0.98776,0.817,0.90983,1.05787,1.06633,0.00137232,0.00137232,0.00137232
14,1182.2,0.91305,1.01641,1.48643,0.8932,1,0.98776,0.817,0.90983,1.05787,1.06633,0.00144064,0.00144064,0.00144064
15,1191.74,0.73526,0.74616,1.38932,0.99965,1,0.995,0.83568,0.81915,0.88721,0.98118,0.0014456,0.0014456,0.0014456
16,1201.83,0.82601,0.97392,1.42082,0.99965,1,0.995,0.83568,0.81915,0.88721,0.98118,0.001406,0.001406,0.001406
17,1212.11,0.79475,0.80519,1.42093,1,0.99339,0.995,0.87932,0.68834,0.74358,0.89465,0.0013664,0.0013664,0.0013664
18,1221.69,0.79638,0.71421,1.42598,1,0.99339,0.995,0.87932,0.68834,0.74358,0.89465,0.0013268,0.0013268,0.0013268
19,1229.24,0.67163,0.74866,1.35231,1,0.99339,0.995,0.87932,0.68834,0.74358,0.89465,0.0012872,0.0012872,0.0012872
20,1237.01,0.70875,0.71854,1.36879,0.96004,1,0.99389,0.90342,0.61284,0.66847,0.84022,0.0012476,0.0012476,0.0012476
21,1244.66,0.78539,0.76065,1.361,0.96004,1,0.99389,0.90342,0.61284,0.66847,0.84022,0.001208,0.001208,0.001208
22,1252.44,0.68546,0.62616,1.39168,0.95972,1,0.99241,0.91403,0.54544,0.68225,0.79578,0.0011684,0.0011684,0.0011684
23,1260.02,0.6665,0.69489,1.35017,0.95972,1,0.99241,0.91403,0.54544,0.68225,0.79578,0.0011288,0.0011288,0.0011288
24,1267.53,0.79297,0.68983,1.38404,0.961,1,0.99389,0.87103,0.61183,0.77395,0.82412,0.0010892,0.0010892,0.0010892
25,1274.81,0.67318,0.71622,1.32272,0.961,1,0.99389,0.87103,0.61183,0.77395,0.82412,0.0010496,0.0010496,0.0010496
26,1283.71,0.72331,0.79075,1.34032,0.99842,1,0.995,0.86004,0.63201,0.72152,0.81456,0.00101,0.00101,0.00101
27,1291.07,0.73332,0.67906,1.38571,0.99842,1,0.995,0.86004,0.63201,0.72152,0.81456,0.0009704,0.0009704,0.0009704
28,1298.7,0.6773,0.64437,1.30641,0.99842,1,0.995,0.86004,0.63201,0.72152,0.81456,0.0009308,0.0009308,0.0009308
29,1307.54,0.62121,0.56548,1.26849,0.99637,1,0.995,0.87741,0.57991,0.56575,0.75507,0.0008912,0.0008912,0.0008912
30,1315.24,0.70975,0.66281,1.3581,0.99637,1,0.995,0.87741,0.57991,0.56575,0.75507,0.0008516,0.0008516,0.0008516
31,1323.12,0.61776,0.58305,1.29146,0.99769,1,0.995,0.91494,0.45918,0.4567,0.69033,0.000812,0.000812,0.000812
32,1330.86,0.65066,0.65233,1.34979,0.99769,1,0.995,0.91494,0.45918,0.4567,0.69033,0.0007724,0.0007724,0.0007724
33,1338.46,0.69642,0.66828,1.33827,0.99779,1,0.995,0.94257,0.3932,0.43055,0.65153,0.0007328,0.0007328,0.0007328
34,1345.9,0.56311,0.59275,1.24076,0.99779,1,0.995,0.94257,0.3932,0.43055,0.65153,0.0006932,0.0006932,0.0006932
35,1353.29,0.60462,0.64787,1.30154,0.99779,1,0.995,0.94257,0.3932,0.43055,0.65153,0.0006536,0.0006536,0.0006536
36,1361.11,0.55653,0.51794,1.24735,0.99751,1,0.995,0.95841,0.34394,0.40153,0.63041,0.000614,0.000614,0.000614
37,1368.55,0.62641,0.61667,1.29756,0.99751,1,0.995,0.95841,0.34394,0.40153,0.63041,0.0005744,0.0005744,0.0005744
38,1375.86,0.5942,0.61053,1.30368,0.99737,1,0.995,0.96233,0.35339,0.40268,0.64056,0.0005348,0.0005348,0.0005348
39,1383.59,0.55384,0.55002,1.23702,0.99737,1,0.995,0.96233,0.35339,0.40268,0.64056,0.0004952,0.0004952,0.0004952
40,1391.58,0.53709,0.50278,1.22674,0.99747,1,0.995,0.93589,0.39232,0.41079,0.65191,0.0004556,0.0004556,0.0004556
41,1399.24,0.42035,0.72006,1.14933,0.99747,1,0.995,0.93589,0.39232,0.41079,0.65191,0.000416,0.000416,0.000416
42,1407.02,0.43256,0.7388,1.09981,0.99448,1,0.995,0.92072,0.41932,0.46249,0.70158,0.0003764,0.0003764,0.0003764
43,1414.49,0.43354,0.72209,1.16635,0.99448,1,0.995,0.92072,0.41932,0.46249,0.70158,0.0003368,0.0003368,0.0003368
44,1421.7,0.358,0.64852,1.06911,0.99448,1,0.995,0.92072,0.41932,0.46249,0.70158,0.0002972,0.0002972,0.0002972
45,1429.17,0.31073,0.66539,1.10618,0.97556,1,0.995,0.92269,0.42755,0.51059,0.75893,0.0002576,0.0002576,0.0002576
46,1436.82,0.35938,0.63524,1.10211,0.97556,1,0.995,0.92269,0.42755,0.51059,0.75893,0.000218,0.000218,0.000218
